Population,Sample,Mut,Severity,col,row
TSI,25,25,25,1,674
ACB,11,11,11,1,675
ACB,11,11,11,1,676
ACB,11,11,11,1,677
ACB,11,11,11,1,678
PEL,8,8,8,1,679
ACB,11,11,11,1,680
ACB,11,11,11,1,681
ACB,11,11,11,1,682
ACB,11,11,11,1,683
ACB,11,11,11,1,684
ACB,11,11,11,1,685
ACB,11,11,11,1,686
GWD,12,12,12,1,687
GWD,12,12,12,1,688
GWD,12,12,12,1,689
ESN,13,13,13,1,690
ESN,13,13,13,1,691
GWD,12,12,12,1,692
ESN,13,13,13,1,693
GWD,12,12,12,1,694
GWD,12,12,12,1,695
GWD,12,12,12,1,696
ESN,13,13,13,1,697
GWD,12,12,12,1,698
GWD,12,12,12,1,699
ACB,11,11,11,1,700
ACB,11,11,11,1,701
ACB,11,11,11,1,702
ACB,11,11,11,1,703
ACB,11,11,11,1,704
ACB,11,11,11,1,705
ACB,11,11,11,1,706
ACB,11,11,11,1,707
ACB,11,11,11,1,708
ACB,11,11,11,1,709
ACB,11,11,11,1,710
GWD,12,12,12,1,711
GWD,12,12,12,1,712
GWD,12,12,12,1,713
ACB,11,11,11,1,714
ACB,11,11,11,1,715
ACB,11,11,11,1,716
ACB,11,11,11,1,717
ACB,11,11,11,1,718
GWD,12,12,12,1,719
ACB,11,11,11,1,720
CLM,6,6,6,1,721
PUR,4,4,4,1,722
CLM,6,6,6,1,723
YRI,19,19,19,1,724
YRI,19,19,19,1,725
YRI,19,19,19,1,726
YRI,19,19,19,1,727
YRI,19,19,19,1,728
YRI,19,19,19,1,729
YRI,19,19,19,1,730
YRI,19,19,19,1,731
YRI,19,19,19,1,732
YRI,19,19,19,1,733
YRI,19,19,19,1,734
YRI,19,19,19,1,735
LWK,22,22,22,1,736
LWK,22,22,22,1,737
LWK,22,22,22,1,738
LWK,22,22,22,1,739
YRI,19,19,19,1,740
YRI,19,19,19,1,741
LWK,22,22,22,1,742
YRI,19,19,19,1,743
YRI,19,19,19,1,744
YRI,19,19,19,1,745
YRI,19,19,19,1,746
YRI,19,19,19,1,747
YRI,19,19,19,1,748
LWK,22,22,22,1,749
ASW,23,23,23,1,750
ASW,23,23,23,1,751
ASW,23,23,23,1,752
ASW,23,23,23,1,753
ASW,23,23,23,1,754
ASW,23,23,23,1,755
ASW,23,23,23,1,756
ASW,23,23,23,1,757
ASW,23,23,23,1,758
ASW,23,23,23,1,759
ESN,13,13,13,1,760
MSL,15,15,15,1,761
MSL,15,15,15,1,762
MSL,15,15,15,1,763
GWD,12,12,12,1,764
MSL,15,15,15,1,765
ESN,13,13,13,1,766
ESN,13,13,13,1,767
